HGNC ID	Approved symbol	Alias symbol	Previous symbol
HGNC:3571	ACSL4	LACS4	MRX68
HGNC:16526	ACSL5	ACS5	FACL5
HGNC:16526	ACSL5	ACS2	FACL5
HGNC:16496	ACSL6	KIAA0837	FACL6
HGNC:16496	ACSL6	ACS2	FACL6
HGNC:16496	ACSL6	LACS5	FACL6
HGNC:16496	ACSL6	LACS2	FACL6
HGNC:18049	ACSM1	MACS1	BUCS1
HGNC:32017	ACSM2A	A-923A4.1	ACSM2
HGNC:32017	ACSM2A	MGC150530	ACSM2
HGNC:30931	ACSM2B	HXMA	ACSM2
HGNC:30931	ACSM2B	HYST1046	ACSM2
HGNC:10522	ACSM3	SA	SAH
HGNC:32016	ACSM4		
HGNC:26060	ACSM5	FLJ20581	
HGNC:51295	ACSM5P1		
HGNC:31665	ACSM6	bA310E22.3	C10orf129
HGNC:16091	ACSS1	dJ568C11.3	ACAS2L
HGNC:16091	ACSS1	AceCS2L	ACAS2L
HGNC:16091	ACSS1	MGC33843	ACAS2L
HGNC:15814	ACSS2	ACS	ACAS2
HGNC:15814	ACSS2	ACSA	ACAS2
HGNC:15814	ACSS2	AceCS	ACAS2
HGNC:15814	ACSS2	dJ1161H23.1	ACAS2
HGNC:24723	ACSS3	FLJ21963	
HGNC:129	ACTA1	NEM3	ACTA
HGNC:130	ACTA2	ACTSA	
HGNC:45169	ACTA2-AS1	uc001kfo.1	
HGNC:45169	ACTA2-AS1	ZXF1	
HGNC:45169	ACTA2-AS1	UC001kfo	
HGNC:132	ACTB		
HGNC:17780	ACTBL2	DKFZp686D0972	
HGNC:134	ACTBP1		
HGNC:135	ACTBP2		
HGNC:136	ACTBP3		
HGNC:137	ACTBP4		
HGNC:138	ACTBP5		
HGNC:139	ACTBP6		
HGNC:140	ACTBP7		
HGNC:141	ACTBP8	ACTBP2	
HGNC:142	ACTBP9		
HGNC:31819	ACTBP10		
HGNC:33971	ACTBP11		
HGNC:150	ACTBP12		ACTGP5
HGNC:44626	ACTBP13		
HGNC:45086	ACTBP14		
HGNC:143	ACTC1	CMD1R	ACTC
HGNC:144	ACTG1		ACTG
HGNC:144	ACTG1		DFNA20
HGNC:144	ACTG1		DFNA26
HGNC:146	ACTG1P1		ACTGP1
HGNC:146	ACTG1P1		ACT1GP1
HGNC:147	ACTG1P2		ACTL2
HGNC:147	ACTG1P2		ACTGP2
HGNC:148	ACTG1P3		ACTGP3
HGNC:149	ACTG1P4		ACTGP4
HGNC:151	ACTG1P6		ACTGP6
HGNC:152	ACTG1P7		ACTGP7
HGNC:153	ACTG1P8		ACTGP8
HGNC:154	ACTG1P9		ACTGP9
HGNC:155	ACTG1P10		ACTL1
HGNC:155	ACTG1P10		ACTGP10
HGNC:37651	ACTG1P11		
HGNC:44496	ACTG1P12		
HGNC:49058	ACTG1P13		
HGNC:49751	ACTG1P14		
HGNC:51495	ACTG1P15		
HGNC:51496	ACTG1P16		
HGNC:51497	ACTG1P17		
HGNC:51498	ACTG1P18		
HGNC:51499	ACTG1P19		
HGNC:51500	ACTG1P20		
HGNC:51501	ACTG1P21		
HGNC:51502	ACTG1P22		
HGNC:51503	ACTG1P23		
HGNC:49661	ACTG1P24		POTENP
HGNC:145	ACTG2	ACTSG	ACTL3
HGNC:145	ACTG2	ACTSG	ACTA3
HGNC:158	ACTL4		
HGNC:159	ACTL5		
